sample,lat,lon,ele,age,err,method,ref
DB20,31.32708333,115.5108167,207,33,2,AHe,Reiners_2003
DB25,30.7057,115.9540833,231,37.4,2.2,AHe,Reiners_2003
DB26,30.8271,116.3977167,334,37.6,2.3,AHe,Reiners_2003
DB21,30.75545,115.3850333,108,33.3,2,AHe,Reiners_2003
DB35,31.01673333,115.7831,224,31.7,1.9,AHe,Reiners_2003
DB36,30.82508333,115.6350167,238,32.8,2,AHe,Reiners_2003
DB40,31.10571667,115.7707333,1729,43.4,2.6,AHe,Reiners_2003
DB41,31.10791667,115.7789333,1450,40.2,2.4,AHe,Reiners_2003
DB42,31.11176667,115.7871167,1070,33.9,2,AHe,Reiners_2003
DB43,31.09673333,115.7887333,860,37.7,2.3,AHe,Reiners_2003
DB44,31.08576667,115.80875,620,34.9,2.1,AHe,Reiners_2003
DB45,31.07343333,115.8232667,340,25.3,1.5,AHe,Reiners_2003
DB45rep,31.07343333,115.8232667,340,22.5,1.4,AHe,Reiners_2003
DB27,31.06736667,116.4856,533,61.8,3.7,AHe,Reiners_2003
DB24,30.41208333,115.5129833,31.7,45.2,2.7,AHe,Reiners_2003
DB22,30.29773333,115.38995,116,43.9,2.6,AHe,Reiners_2003
DB23,30.21463333,115.47525,69.5,63.9,3.8,AHe,Reiners_2003
DB30,31.37618333,116.5605167,209,52.8,3.2,AHe,Reiners_2003
DB32,31.42163333,116.3753667,115,65.5,3.9,AHe,Reiners_2003
DB20,31.32708333,115.5108167,207,107,8.6,ZHe,Reiners_2003
DB25,30.7057,115.9540833,231,106,8.5,ZHe,Reiners_2003
DB26,30.8271,116.3977167,334,85.3,6.8,ZHe,Reiners_2003
DB21,30.75545,115.3850333,108,96.3,7.7,ZHe,Reiners_2003
DB36,30.82508333,115.6350167,238,115,9.2,ZHe,Reiners_2003
DB34,31.14893333,116.0321833,411,86.2,6.9,ZHe,Reiners_2003
DB40,31.10571667,115.7707333,1729,112,9,ZHe,Reiners_2003
DB41,31.10791667,115.7789333,1450,110,8.8,ZHe,Reiners_2003
DB42,31.11176667,115.7871167,1070,112,9,ZHe,Reiners_2003
DB43,31.09673333,115.7887333,860,111,8.9,ZHe,Reiners_2003
DB44,31.08576667,115.80875,620,89.7,7.2,ZHe,Reiners_2003
DB45,31.07343333,115.8232667,340,75.6,6,ZHe,Reiners_2003
DB27,31.06736667,116.4856,533,102,8.2,ZHe,Reiners_2003
DB22,30.29773333,115.38995,116,137,11,ZHe,Reiners_2003
DB23,30.21463333,115.47525,69.5,149,12,ZHe,Reiners_2003
DB30,31.37618333,116.5605167,209,114,9.1,ZHe,Reiners_2003
DB32,31.42163333,116.3753667,115,120,9.6,ZHe,Reiners_2003
DB12,31.85491667,115.7718167,74.4,124,9.9,ZHe,Reiners_2003
DB16,31.59246667,115.6814667,114,155,12,ZHe,Reiners_2003
DB15,31.70855,115.8335667,301,87.7,7,ZHe,Reiners_2003
DB16,31.59246667,115.6814667,114,92.7,6.8,AFT,Reiners_2003
DB20,31.32708333,115.5108167,207,58.3,5.2,AFT,Reiners_2003
DB24,30.41208333,115.5129833,31.7,51.2,6,AFT,Reiners_2003
DB25,30.7057,115.9540833,231,71.4,8.5,AFT,Reiners_2003
DB26,30.8271,116.3977167,334,71.3,6.7,AFT,Reiners_2003
DB27,31.06736667,116.4856,533,56.6,6.6,AFT,Reiners_2003
DB40,31.10571667,115.7707333,1729,73.7,5.3,AFT,Reiners_2003
DB41,31.10791667,115.7789333,1450,76.4,6.9,AFT,Reiners_2003
DB42,31.11176667,115.7871167,1070,76.3,11.5,AFT,Reiners_2003
DB43,31.09673333,115.7887333,860,52.2,6.2,AFT,Reiners_2003
DB44,31.08576667,115.80875,620,54,5.3,AFT,Reiners_2003
DB45,31.07343333,115.8232667,340,47.4,6.6,AFT,Reiners_2003